state,dist,year,dem,redist1,redist2,vote_P0,cand_dwnom0,prim_total0,vote_P1,cand_dwnom1,fully_open_general,this_primary_open,this_primary_open_other_inc,this_primary_inc_other_open,both_primaries_inc,tot_amountQ,tot_amountY,absdist,rv,treat,rv_treat,dv,margin,rv2,rv3,rv4,prim_total_winner,prim_pac_share,prim_share,winner_score,inc_winner,party_share,group_share,pnv,lag_pnv,dv_win,lag_dv_party,vote_G_comb,lag_dv_vote,lag_dv_pac,dv2,dv_win2,dv3,dv_win3,dv4,dv_win4,dv5,dv_win5,dv_lag,dv_win_lag,safe_for_party,competitive,dwnom1,dw1,dw2,dw3,dw4,dw_lag,cov2dc,qual_D,qual_R,qual,winner_hall_snyder_score,wnom1,lag_wnom1,abs_lag_wnom,abs_dw_lag,winner_female,winner_share
AL,1,1984,1,98,103,0.45490720868110657,-0.0739719569683075,9258,0.545092761516571,-0.034323468804359436,1,1,0,0,0,59186.09375,8805.58203125,0.03964848816394806,-0.04509279131889343,0,0,0.48998674750328064,0.04509279131889343,0.0020333598367869854,-9.168987162411213e-5,4.1345520003233105e-6,19799,0.4064013659954071,0.3186151385307312,-0.034323468804359436,0,0.1146601140499115,0.770679771900177,0.362911581993103,0.362911581993103,0,NA,0.48998674750328064,NA,NA,0,0,0.40276286005973816,0,0,0,NA,NA,0.3819190561771393,0,0,0,0.35199999809265137,0.36000001430511475,0.367000013589859,0.375,NA,0.06700000166893005,0.902808666229248,0,1,0,-0.034323468804359436,0.4563584327697754,0.23182637989521027,0.23182637989521027,0.06700000166893005,0,0.6813848614692688
AL,1,2002,0,108,1000,0.37558260560035706,0.18037208914756775,104000,0.6244174242019653,0.13825242221355438,1,1,0,0,0,100258.3046875,3269.31640625,0.04211966693401337,-0.12441739439964294,0,0,0.6155834794044495,0.12441739439964294,0.015479687601327896,-0.001925942488014698,2.3962074192240834e-4,142800,0.5910543203353882,0.42139384150505066,0.13825242221355438,0,0.029411956667900085,0.9019601345062256,0.37176766991615295,NA,1,NA,0.6155834794044495,NA,NA,0.6316229104995728,1,0.6815598011016846,1,1,1,1,1,NA,NA,1,0,0.5899999737739563,0.5580000281333923,0.5249999761581421,0.49300000071525574,0.46000000834465027,NA,0.8694728016853333,1,0,0,0.13825242221355438,0.6151962876319885,NA,NA,NA,0,0.5786061882972717
AL,2,1992,0,103,108,0.5828990340232849,0.12886206805706024,5000,0.4171009659767151,0.12259975075721741,1,1,0,0,0,3333.176025390625,32703.87890625,0.0062623172998428345,0.08289903402328491,1,0.08289903402328491,0.5080340504646301,0.08289903402328491,0.0068722497671842575,5.697028827853501e-4,4.7227818868122995e-5,5000,NA,0.21978022158145905,0.12886206805706024,0,0.9075070023536682,0.09249301999807358,0.3949694037437439,NA,1,NA,0.5080340504646301,NA,NA,0.735787034034729,1,0.6407724618911743,1,0.6933172941207886,1,0.7003616094589233,1,NA,NA,1,0,0.45399999618530273,0.46799999475479126,0.4819999933242798,0.4959999918937683,0.5099999904632568,NA,0.7396056056022644,1,0,0,0.12886206805706024,0.5478900074958801,NA,NA,NA,0,0.21978022158145905
AL,2,1992,1,103,108,0.428862988948822,-0.3123093545436859,70849,0.571137011051178,0.05108586698770523,1,1,0,0,0,101075.90625,18771.240234375,0.36339521408081055,-0.07113701105117798,0,0,0.4919659197330475,0.07113701105117798,0.0050604743883013725,-3.599870251491666e-4,2.560840039222967e-5,51286,0.6951541304588318,0.5800876021385193,0.05108586698770523,0,0.1421556919813156,0.7654536962509155,0.3949694037437439,NA,0,NA,0.4919659197330475,NA,NA,0.264212965965271,0,0.35922756791114807,0,0.3066827058792114,0,0.2996383607387543,0,NA,NA,0,0,0.45399999618530273,0.46799999475479126,0.4819999933242798,0.4959999918937683,0.5099999904632568,NA,0.7396056056022644,1,0,1,0.05108586698770523,0.5478900074958801,NA,NA,NA,0,0.4199123978614807
AL,2,2008,0,108,1000,0.5311264991760254,0.22510910034179688,55000,0.468873530626297,0.20577426254749298,1,1,0,0,0,61868.2578125,436234.46875,0.019334837794303894,0.03112649917602539,1,0.03112649917602539,0.4968809485435486,0.03112649917602539,9.688589489087462e-4,3.015718721144367e-5,9.386876627104357e-7,55000,0.9038461446762085,0.8730158805847168,0.22510910034179688,0,0.8652471899986267,0.12271229922771454,0.346818208694458,0.346818208694458,0,0.9075070023536682,0.4968809485435486,0.5080340504646301,0.09249301999807358,0.5109376907348633,1,NA,NA,NA,NA,NA,NA,0.6953880190849304,1,1,0,0.07900000363588333,0.4429999887943268,NA,NA,NA,0.5519999861717224,NA,1,1,1,0.22510910034179688,0.08295732736587524,0.6373592019081116,0.6373592019081116,0.5519999861717224,0,0.8730158805847168
AL,3,1996,1,103,108,0.6097338199615479,-0.1717931628227234,71650,0.39026620984077454,0.15926356613636017,1,1,0,0,0,127830.265625,51229.5703125,0.33105671405792236,0.10973381996154785,1,0.10973381996154785,0.48419323563575745,0.10973381996154785,0.01204151101410389,0.00132136105094105,1.449979899916798e-4,71650,0.8715953230857849,0.8389929533004761,-0.1717931628227234,0,0.2561945915222168,0.6392679810523987,0.4719838500022888,0.4719838500022888,0,NA,0.48419323563575745,NA,NA,0.4189721643924713,0,0,0,NA,NA,NA,NA,0.6359924674034119,1,0,1,0.49799999594688416,0.49799999594688416,0.49799999594688416,NA,NA,-0.16699999570846558,0.6569494009017944,1,1,1,-0.1717931628227234,0.6897774934768677,-0.3274627923965454,0.3274627923965454,0.16699999570846558,NA,0.8389929533004761
AL,4,1996,1,103,108,0.5199984312057495,-0.19696219265460968,49700,0.4800015985965729,-0.13642650842666626,1,1,0,0,0,87674.7890625,54734.0625,0.06053568422794342,0.01999843120574951,1,0.01999843120574951,0.49135851860046387,0.01999843120574951,3.9993724203668535e-4,7.998117325769272e-6,1.5994980628875055e-7,49700,0.9012345671653748,0.9255120754241943,-0.19696219265460968,0,0.3391890227794647,0.5433239340782166,0.44855111837387085,0.44855111837387085,0,NA,0.49135851860046387,NA,NA,0.4356740415096283,0,0.38161027431488037,0,NA,NA,NA,NA,1,1,0,1,0.4959999918937683,0.492000013589859,0.4869999885559082,NA,NA,-0.25200000405311584,0.6732825040817261,1,0,1,-0.19696219265460968,0.5927592515945435,-0.3786773085594177,0.3786773085594177,0.25200000405311584,0,0.9255120754241943
AL,5,1990,1,98,103,0.39546552300453186,-0.16639268398284912,46017,0.6045345067977905,0.026136580854654312,1,1,0,0,0,114288,15912,0.19252926111221313,-0.10453447699546814,0,0,0.6714081168174744,0.10453447699546814,0.010927456431090832,-0.0011422960087656975,1.1940931290155277e-4,47562,0.5073961615562439,0.4917449355125427,0.026136580854654312,0,0.11046241223812103,0.7933967113494873,0.4052582383155823,0.4052582383155823,1,NA,0.6714081168174744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6507070660591125,1,0,1,-0.15199999511241913,NA,NA,NA,NA,-0.1589999943971634,0.7934866547584534,1,1,1,0.026136580854654312,-0.16123251616954803,0.456865131855011,0.456865131855011,0.1589999943971634,0,0.5082550644874573
AL,6,1980,0,93,98,0.553540825843811,0.2551068663597107,8942,0.4464591443538666,-0.019507599994540215,0,0,0,1,0,74614.7890625,12824.14453125,0.27461445331573486,0.053540825843811035,1,0.053540825843811035,0.5204951763153076,0.053540825843811035,0.0028666199650615454,1.5348120359703898e-4,8.217510185204446e-6,8942,0.0997372642159462,0.1549498289823532,0.2551068663597107,0,0.14227642118930817,0.8278076648712158,0.38486871123313904,0.38486871123313904,1,0,0.5204951763153076,0.6170694231987,0.85014408826828,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0.4300000071525574,NA,NA,NA,NA,-0.020999999716877937,NA,1,0,0,0.2551068663597107,0.443333238363266,NA,NA,0.020999999716877937,0,0.1549498289823532
AL,7,1982,1,98,103,0.35439372062683105,-0.317108154296875,28650,0.645606279373169,0.06723839789628983,0,0,0,1,0,3102.93994140625,0,0.38434654474258423,-0.14560627937316895,0,0,1,0.14560627937316895,0.02120118774473667,-0.003087026299908757,4.494903841987252e-4,1229,NA,0.9588674306869507,0.06723839789628983,1,0,0.8655081391334534,0.40721991658210754,NA,1,NA,1,NA,NA,1,1,0.5977015495300293,1,0.6822598576545715,1,0.7053466439247131,1,NA,NA,0,1,0.029999999329447746,0.029999999329447746,-0.08699999749660492,-0.08699999749660492,-0.08699999749660492,NA,0.4388977289199829,1,0,1,0.06723839789628983,0.12425050884485245,NA,NA,NA,0,0.041132569313049316
AL,7,1986,1,98,103,0.6022742986679077,-0.057352449744939804,37250,0.3977257013320923,0.08456878364086151,1,1,0,0,0,120802.1015625,0,0.1419212371110916,0.10227429866790771,1,0.10227429866790771,0.5977015495300293,0.10227429866790771,0.010460032150149345,0.0010697924299165606,1.0941227083094418e-4,37250,0.8081570863723755,0.79935622215271,-0.057352449744939804,0,0,0.873275876045227,0.40721991658210754,0.40721991658210754,1,0,0.5977015495300293,1,0.8655081391334534,0.6822598576545715,1,0.7053466439247131,1,NA,NA,NA,NA,1,1,0,1,-0.08699999749660492,-0.08699999749660492,-0.08699999749660492,NA,NA,0.029999999329447746,0.46532925963401794,1,0,1,-0.057352449744939804,0.041462596505880356,0.052103884518146515,0.052103884518146515,0.029999999329447746,0,0.79935622215271
AL,7,1992,1,103,108,0.5047078132629395,-0.13145115971565247,35086,0.49529215693473816,-0.07471500337123871,1,1,0,0,0,69868.140625,35026.296875,0.05673615634441376,0.004707813262939453,1,0.004707813262939453,0.7999733686447144,0.004707813262939453,2.2163505491334945e-5,1.043416446577794e-7,4.912210083141133e-10,35086,0.8576714992523193,0.8613020181655884,-0.13145115971565247,0,0.3133850693702698,0.6251198053359985,0.7104471325874329,NA,1,NA,0.7999733686447144,NA,NA,0.769388735294342,1,0.7238138914108276,1,1,1,0.762657105922699,1,NA,NA,1,0,-0.5820000171661377,-0.5640000104904175,-0.5450000166893005,-0.5270000100135803,-0.5080000162124634,NA,0.34778890013694763,1,0,1,-0.13145115971565247,-0.6703662872314453,NA,NA,NA,0,0.8613020181655884
AL,7,2002,1,108,1000,0.43997177481651306,-0.13145115971565247,249371,0.5600281953811646,0.01591966114938259,0,0,0,1,0,85769.421875,3814.202392578125,0.1473708152770996,-0.06002822518348694,0,0,1,0.06002822518348694,0.0036033878568559885,-2.1630497940350324e-4,1.2984403838345315e-5,44586,0.8521811962127686,0.8483247756958008,0.01591966114938259,0,0.040289778262376785,0.9059905409812927,0.6868686676025391,NA,1,NA,1,NA,NA,0.7503589987754822,1,1,1,1,1,0.7248470187187195,1,NA,NA,1,0,-0.23800000548362732,-0.23800000548362732,-0.23800000548362732,-0.23800000548362732,-0.3059999942779541,NA,0.46910032629966736,0,0,0,0.01591966114938259,-0.33065369725227356,NA,NA,NA,NA,0.1516752392053604
AL,7,2010,1,108,1000,0.5500025749206543,-0.15932077169418335,28500,0.4499974548816681,-0.10066759586334229,1,1,0,0,0,71773.03125,10.788971900939941,0.058653175830841064,0.0500025749206543,1,0.0500025749206543,0.7248470187187195,0.0500025749206543,0.0025002574548125267,1.2501931632868946e-4,6.25128768660943e-6,28500,0.5180723071098328,0.5862147212028503,-0.15932077169418335,0,1.3495884195435792e-4,0.8978061676025391,0.6868686676025391,0.6868686676025391,1,0.040289778262376785,0.7248470187187195,1,0.9059905409812927,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,0,-0.3059999942779541,NA,NA,NA,NA,-0.23800000548362732,NA,0,0,0,-0.15932077169418335,-0.6683093309402466,-0.3440755605697632,0.3440755605697632,0.23800000548362732,NA,0.5862147212028503
AR,1,1986,1,98,103,0.5214848518371582,-0.12317563593387604,143479,0.4785151481628418,0.18934985995292664,0,0,0,1,0,137497.359375,1192.5181884765625,0.31252551078796387,0.021484851837158203,1,0.021484851837158203,0.642177164554596,0.021484851837158203,4.6159885823726654e-4,9.917383067659102e-6,2.13073505506145e-7,143479,0.8725887537002563,0.8756675124168396,-0.12317563593387604,1,0.008364700712263584,0.9644500017166138,0.4584299623966217,0.4584299623966217,1,NA,0.642177164554596,NA,NA,1,1,0.6430804133415222,1,NA,NA,NA,NA,1,1,0,1,-0.4490000009536743,-0.4729999899864197,-0.4970000088214874,NA,NA,-0.42500001192092896,0.6505802869796753,0,0,0,-0.12317563593387604,-0.3905148208141327,-0.337226539850235,0.337226539850235,0.42500001192092896,0,0.8756675124168396
AR,1,1988,1,98,103,0.6690853238105774,-0.12317563593387604,147625,0.3309146761894226,0.4098919928073883,0,0,0,1,0,106614.9609375,0,0.5330676436424255,0.1690853238105774,1,0.1690853238105774,1,0.1690853238105774,0.028589846566319466,0.00483412342146039,8.173793321475387e-4,147625,0.9186364412307739,0.918574333190918,-0.12317563593387604,1,0,0.9509075284004211,0.4584299623966217,0.4584299623966217,1,0.008364700712263584,1,0.642177164554596,0.9644500017166138,0.6430804133415222,1,NA,NA,NA,NA,NA,NA,0.642177164554596,1,0,1,-0.4729999899864197,-0.4970000088214874,NA,NA,NA,-0.4490000009536743,0.6763244867324829,0,0,0,-0.12317563593387604,0.3262976109981537,-0.3905148208141327,0.3905148208141327,0.4490000009536743,0,0.918574333190918
